"rank","Country Name","Income Group(Strength/Weakness)","Strength / Weakness","Score"
"1","Switzerland","Strength","Strength","64.6"
"2","United States of America","Strength","Strength","61.8"
"3","Sweden","Strength","Strength","61.6"
"4","United Kingdom","Strength","Strength","59.7"
"5","Netherlands","","Strength","58.0"
"6","Republic of Korea","","","57.8"
"7","Singapore","","","57.3"
"8","Germany","","","57.2"
"9","Finland","","","56.9"
"10","Denmark","","","55.9"
"11","China","Strength","","55.3"
"12","France","","","55.0"
"13","Japan","","","53.6"
"14","Hong Kong","","","51.8"
"15","Canada","","","50.8"
"16","Israel","","","50.2"
"17","Austria","","","50.2"
"18","Estonia","","","50.2"
"19","Luxembourg","","","49.8"
"20","Iceland","","","49.5"
"21","Malta","","","49.1"
"22","Norway","Weakness","","48.8"
"23","Ireland","Weakness","","48.5"
"24","New Zealand","Weakness","","47.2"
"25","Australia","Weakness","","47.1"
"26","Belgium","","","46.9"
"27","Cyprus","","","46.2"
"28","Italy","","","46.1"
"29","Spain","","","44.6"
"30","Czech Republic","","","42.8"
"31","United Arab Emirates","","","42.1"
"32","Portugal","","","42.1"
"33","Slovenia","","","40.6"
"34","Hungary","","","39.8"
"35","Bulgaria","Strength","","39.5"
"36","Malaysia","Strength","","38.7"
"37","Trkiye","Strength","","38.1"
"38","Poland","","","37.5"
"39","Lithuania","","","37.4"
"40","India","Strength","","36.6"
"41","Latvia","","","36.5"
"42","Croatia","","","35.6"
"43","Thailand","","","34.9"
"44","Greece","","","34.5"
"45","Mauritius","","","34.4"
"46","Slovakia","","","34.3"
"47","Russian Federation","","","34.3"
"48","Viet Nam","Strength","","34.3"
"49","Romania","","","34.1"
"50","Chile","","","34.0"
"51","Saudi Arabia","Weakness","","33.4"
"52","Qatar","Weakness","","32.9"
"53","Iran (Islamic Republic of)","Strength","","32.9"
"54","Brazil","","","32.5"
"55","Serbia","","","32.3"
"56","Republic of Moldova","","","31.1"
"57","Ukraine","Strength","","31.0"
"58","Mexico","","","31.0"
"59","Philippines","Strength","","30.7"
"60","Montenegro","","","30.3"
"61","South Africa","","","29.8"
"62","Kuwait","Weakness","","29.2"
"63","Colombia","","","29.2"
"64","Uruguay","Weakness","","29.2"
"65","Peru","","","29.1"
"66","North Macedonia","","","28.8"
"67","Morocco","Strength","","28.8"
"68","Costa Rica","","","28.7"
"69","Argentina","","","28.6"
"70","Bosnia and Herzegovina","","","28.5"
"71","Mongolia","Strength","","28.0"
"72","Bahrain","Weakness","","27.9"
"73","Tunisia","Strength","","27.9"
"74","Georgia","","","27.9"
"75","Indonesia","","","27.9"
"76","Jamaica","","","27.7"
"77","Belarus","","","27.5"
"78","Jordan","","","27.4"
"79","Oman","Weakness","","26.8"
"80","Armenia","","","26.6"
"81","Panama","","","25.7"
"82","Uzbekistan","","","25.3"
"83","Kazakhstan","","","24.7"
"84","Albania","","","24.4"
"85","Sri Lanka","","","24.2"
"86","Botswana","","","23.9"
"87","Pakistan","","","23.0"
"88","Kenya","","","22.8"
"89","Egypt","","","22.7"
"90","Dominican Republic","","","22.7"
"91","Paraguay","","","22.6"
"92","Brunei Darussalam","Weakness","","22.1"
"93","Azerbaijan","Weakness","","21.4"
"94","Kyrgyzstan","","","21.1"
"95","Ghana","","","20.8"
"96","Namibia","Weakness","","20.6"
"97","Cambodia","","","20.5"
"98","Ecuador","Weakness","","20.3"
"99","Senegal","","","19.9"
"100","El Salvador","","","19.9"
"101","Trinidad and Tobago","Weakness","","19.8"
"102","Bangladesh","","","19.7"
"103","United Republic of Tanzania","","","19.4"
"104","Tajikistan","","","18.8"
"105","Rwanda","Strength","","18.7"
"106","Madagascar","Strength","","18.6"
"107","Zimbabwe","","","18.1"
"108","Nicaragua","","","18.1"
"109","C?te d'Ivoire","","","17.8"
"110","Guatemala","Weakness","","17.8"
"111","Nepal","","","17.6"
"112","Lao People's Democratic Republic","","","17.4"
"113","Honduras","","","17.3"
"114","Nigeria","","","16.9"
"115","Algeria","","","16.7"
"116","Myanmar","","","16.4"
"117","Ethiopia","","","16.3"
"118","Zambia","","","15.8"
"119","Uganda","","","15.7"
"120","Burkina Faso","","","15.3"
"121","Cameroon","Weakness","Weakness","15.1"
"122","Togo","","","15.1"
"123","Mozambique","","","15.0"
"124","Benin","Weakness","","14.6"
"125","Niger","","","14.6"
"126","Mali","","","14.2"
"127","Angola","Weakness","","13.9"
"128","Yemen","","","13.8"
"129","Mauritania","Weakness","","12.4"
"130","Burundi","Weakness","","12.3"
"131","Iraq","Weakness","Weakness","11.9"
"132","Guinea","Weakness","Weakness","11.6"
